Fe,Ni,Co,Cr,Mn,C,Mo,Si,Cu,Al,W,V,Ti,Nb,Tensile Strength: Ultimate (UTS) (psi),compositional_sum_flag
85.15,0.5,0.0,12.75,0.5,0.075,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,700.0,PASS
85.25,0.5,0.0,12.75,0.5,0.075,0.575,0.325,0.0,0.0,0.0,0.0,0.0,0.0,690.0,PASS
83.6,0.75,0.0,11.75,0.75,0.24,1.1,0.5,0.0,0.0,1.1,0.25,0.0,0.0,1080.0,PASS
84.9,0.5,0.0,12.75,0.5,0.3,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,910.0,PASS
84.94999999999999,0.5,0.0,12.75,0.5,0.3,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,770.0,PASS
80.7,7.0,0.0,11.5,0.25,0.03,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1080.0,PASS
81.5,4.0,0.0,12.75,0.5,0.03,0.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,850.0,PASS
77.45,1.0,0.0,19.5,0.5,0.15,0.0,0.75,0.6,0.0,0.0,0.0,0.0,0.0,500.0,PASS
77.7,4.5,0.0,16.5,0.5,0.03,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,880.0,PASS
75.35,4.1,0.0,16.6,0.35,0.035,0.0,0.5,2.85,0.0,0.0,0.0,0.0,0.175,960.0,PASS
76.3,5.0,0.0,14.75,0.35,0.035,0.0,0.5,2.85,0.0,0.0,0.0,0.0,0.175,960.0,PASS
68.45,2.0,0.0,28.0,0.5,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,430.0,PASS
62.05,6.15,0.0,25.35,0.6,0.015,3.35,0.55,1.65,0.0,0.0,0.0,0.0,0.0,790.0,PASS
67.25,5.5,0.0,22.25,0.75,0.015,3.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,710.0,PASS
60.95,7.5,0.0,25.0,0.75,0.015,3.5,0.5,0.75,0.0,0.75,0.0,0.0,0.0,790.0,PASS
63.1,5.4,0.0,25.5,0.5,0.02,2.05,0.5,3.05,0.0,0.0,0.0,0.0,0.0,770.0,PASS
62.9,5.35,0.0,25.5,0.5,0.02,2.0,0.5,3.0,0.0,0.0,0.0,0.0,0.0,770.0,PASS
66.1,5.0,0.0,25.5,0.5,0.03,2.15,0.5,0.0,0.0,0.0,0.0,0.0,0.0,730.0,PASS
60.55,9.5,0.0,28.0,0.75,0.15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,630.0,PASS
62.0,7.0,0.0,25.0,0.75,0.015,4.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,770.0,PASS
61.2,9.5,0.0,24.0,0.5,0.04,3.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,750.0,PASS
62.25,8.5,0.0,17.0,8.0,0.05,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,PASS
67.05,10.5,0.0,19.5,0.75,0.08,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,530.0,PASS
67.25,10.5,0.0,19.5,0.75,0.08,0.6000000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,PASS
69.1,9.5,0.0,19.5,0.75,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,530.0,PASS
68.95,10.0,0.0,19.0,0.75,0.015,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,510.0,PASS
65.95,11.0,0.0,19.0,0.75,0.015,2.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,520.0,PASS
65.30000000000001,11.0,0.0,19.5,0.75,0.015,2.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,580.0,PASS
68.9,9.5,0.0,19.5,0.75,0.04,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,PASS
67.4,10.5,0.0,19.5,0.75,0.04,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.5,530.0,PASS
65.65,10.5,0.0,19.5,0.75,0.04,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,PASS
65.15,11.5,0.0,21.5,0.75,0.06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,PASS
64.45,11.0,0.0,19.5,0.75,0.015,3.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,580.0,PASS
57.0,12.5,0.0,22.0,5.0,0.03,2.25,0.5,0.0,0.0,0.0,0.2,0.0,0.2,670.0,PASS
64.4,11.0,0.0,19.5,0.75,0.04,3.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,550.0,PASS
60.4,13.5,0.0,24.0,0.75,0.05,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,PASS
60.35,13.5,0.0,24.0,0.75,0.1,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,610.0,PASS
52.35,20.5,0.0,25.0,1.0,0.1,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,530.0,PASS
47.6,21.0,0.0,23.0,1.0,0.0175,6.4,0.5,0.2,0.0,0.0,0.0,0.0,0.0,650.0,PASS
52.9,18.5,0.0,20.0,0.6,0.0125,6.5,0.5,0.75,0.0,0.0,0.0,0.0,0.0,620.0,PASS
47.45,25.0,0.0,21.0,1.0,0.015,5.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,500.0,PASS
45.85,24.5,0.0,21.0,1.0,0.015,6.5,0.5,0.375,0.0,0.0,0.0,0.0,0.0,620.0,PASS
42.95,29.0,0.0,20.5,0.75,0.035,2.5,0.75,3.5,0.0,0.0,0.0,0.0,0.0,480.0,PASS
49.45,23.5,0.0,19.0,0.5,0.035,2.75,3.0,1.75,0.0,0.0,0.0,0.0,0.0,540.0,PASS
44.75,32.5,0.0,20.0,0.825,0.1,0.0,0.825,0.0,0.0,0.0,0.0,0.0,1.0,500.0,PASS
85.15,0.5,0.0,12.75,0.5,0.075,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,700.0,PASS
85.25,0.5,0.0,12.75,0.5,0.075,0.575,0.325,0.0,0.0,0.0,0.0,0.0,0.0,690.0,PASS
83.6,0.75,0.0,11.75,0.75,0.24,1.1,0.5,0.0,0.0,1.1,0.25,0.0,0.0,1080.0,PASS
84.9,0.5,0.0,12.75,0.5,0.3,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,910.0,PASS
84.94999999999999,0.5,0.0,12.75,0.5,0.3,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,770.0,PASS
80.7,7.0,0.0,11.5,0.25,0.03,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1080.0,PASS
81.5,4.0,0.0,12.75,0.5,0.03,0.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,850.0,PASS
77.45,1.0,0.0,19.5,0.5,0.15,0.0,0.75,0.6,0.0,0.0,0.0,0.0,0.0,500.0,PASS
77.7,4.5,0.0,16.5,0.5,0.03,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,880.0,PASS
75.35,4.1,0.0,16.6,0.35,0.035,0.0,0.5,2.85,0.0,0.0,0.0,0.0,0.175,652.4829777576033,PASS
76.3,5.0,0.0,14.75,0.35,0.035,0.0,0.5,2.85,0.0,0.0,0.0,0.0,0.175,652.4829777576033,PASS
68.45,2.0,0.0,28.0,0.5,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,430.0,PASS
62.05,6.15,0.0,25.35,0.6,0.015,3.35,0.55,1.65,0.0,0.0,0.0,0.0,0.0,790.0,PASS
67.25,5.5,0.0,22.25,0.75,0.015,3.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,710.0,PASS
